company_id,company_qid,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet,climate_score,sentiment_label,sentiment_score
412,Q28502315,Compañía Peruana de Teléfonos S.A.,PE,ict_telecom,m,memberships,sbti,1.0,2024-05-09 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Autostrade per l'Italia S.p.A.,1.0,positive,0.6
1044,ext::corporaci-n-lindley-s-a-pe,Corporación Lindley S.A.,PE,agro_food,m,memberships,sbti,1.0,2024-05-16 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Roca Group (Roca Corporación Empresarial, S.A.)",1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-05-16 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Tubacex, S.A.",1.0,positive,0.6
584,Q5737311,Complejo Manufacturero de Equipos Telefónicos,CL,manufacturing,m,memberships,sbti,1.0,2024-05-16 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Fabricantes de Equipos para Refrigeración SA de CV,1.0,positive,0.6
213,Q124967189,Ferrocarril Córdoba Central S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2024-05-16 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Roca Group (Roca Corporación Empresarial, S.A.)",1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-05-23 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Proef SGPS, S.A.",1.0,positive,0.6
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-05-23 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Dong Xi Hu Dong (Beijing) Science and Technology Ltd.,0.0,,0.0
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-05-23 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Canadian National Railway Company,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-05-30 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Dibea ITG S.A,1.0,positive,0.6
118,Q113992129,Confitería Lion d'Or,UY,agro_food,m,memberships,sbti,1.0,2024-06-06 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Transports Frigorifiques des Monts d'or (TFMO),1.0,positive,0.6
15,Q10276503,Estrada de Ferro Porto Murtinho a São Roque,BR,transport_logistics,m,memberships,sbti,1.0,2024-06-06 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,MILLS LOCAÇÃO SERVIÇOS E LOGÍSTICA S/A,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-06-06 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,AENA S.M.E. S.A.,1.0,positive,0.6
381,Q24944409,Buenos Aires al Pacífico S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2024-06-06 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,MILLS LOCAÇÃO SERVIÇOS E LOGÍSTICA S/A,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-06-13 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Doneck Euroflex S.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-06-20 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,AMERICAN POLY DEL NORTE S.A. DE C.V.,1.0,positive,0.6
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-06-20 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Aditya Birla Fashion and Retail Ltd.,1.0,positive,0.6
510,Q4985541,Ferrocarril del Norte de Buenos Aires,AR,transport_logistics,m,memberships,sbti,1.0,2024-06-20 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,AMERICAN POLY DEL NORTE S.A. DE C.V.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-06-27 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,e-Boks Group A/S,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-07-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Multi-Wing Group A/S,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-07-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,MAIZORO S DE RL DE CV,1.0,positive,0.6
664,Q68149468,Servicios Lógisticos Ferroviarios S.A.,UY,transport_logistics,m,memberships,sbti,1.0,2024-07-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Doctaforum Servicios S.L.,1.0,positive,0.6
